condition,term,phenotype,age,n,n_values,mean,sd,q5,q25,q50,q75,q95
nvp_21w_24w,pregnancy_duration_preterm,bmi,7y,382,180,15.7225505549688,2.05595283798594,13.0092250164366,14.4593866466089,15.4764331297004,16.6442432120259,19.5203164525069
nvp_21w_24w,pregnancy_duration_preterm,bmi,8y,382,153,16.1460118081103,2.39039512128673,13.2245551215278,14.5794141359849,15.6956004756243,17.08984375,20.775470922377
nvp_25w_28w,pregnancy_duration_term,length,birth,5525,5350,50.4358677046368,2.04456089279617,47,49,50,52,54
nvp_25w_28w,pregnancy_duration_term,length,6w,5525,3355,56.802146706426,2.27269007695822,53,55.5,57,58,60.5
nvp_25w_28w,pregnancy_duration_term,length,3m,5525,4641,61.9998611156382,2.36908531164968,58,60.5,62,63.5,66
nvp_25w_28w,pregnancy_duration_term,length,6m,5525,4710,67.7889290605835,2.49725287601867,64,66,68,69.5,72
nvp_25w_28w,pregnancy_duration_term,length,8m,5525,4151,71.294642718907,2.64519820573552,67,69.5,71,73,75.6112513332282
nvp_25w_28w,pregnancy_duration_term,length,1y,5525,4149,76.4479414469191,2.71225700176303,72,74.5,76.5,78,81
nvp_25w_28w,pregnancy_duration_term,length,16m,5525,3195,80.741267560564,3.05422161371205,75.9798898962827,78.7120773765,80.6080358523023,82.8042442069995,85.8469248953272
nvp_25w_28w,pregnancy_duration_term,length,2y,5525,3190,88.5984696466599,3.56029762930141,83,86.2060256278204,88.5,91,94.3965518080407
nvp_25w_28w,pregnancy_duration_term,length,3y,5525,3284,96.6214168267625,3.95340119629251,90,94,96.5137266981787,99,103
nvp_25w_28w,pregnancy_duration_term,length,5y,5525,2661,113.16795431307,5.11135783298113,105,110,113,116.123848082211,122
nvp_25w_28w,pregnancy_duration_term,length,7y,5525,2728,125.967014992846,5.47162028565769,117,122,126,130,135
nvp_25w_28w,pregnancy_duration_term,length,8y,5525,2137,132.277248676013,5.83650379576677,122,129,132,136,142
nvp_25w_28w,pregnancy_duration_term,weight,birth,5525,5513,3.61277433173858,0.492792432126575,2.82,3.3,3.6,3932,4.43
nvp_25w_28w,pregnancy_duration_term,weight,6w,5525,4241,4.99570672201877,0.678389159781519,3.93,4.54,4.99,5.44,6.12
nvp_25w_28w,pregnancy_duration_term,weight,3m,5525,4734,6.35708827494649,0.814566223014341,5.1,5.8,6.3125,6.89,7.76
nvp_25w_28w,pregnancy_duration_term,weight,6m,5525,4740,7.89418084266703,0.954549090427574,6.43975,7.23375,7.83,8.51,9.56025
nvp_25w_28w,pregnancy_duration_term,weight,8m,5525,4190,8.79193160788754,1.03976723761531,7.2445,8.03,8715,9.47,10.593872228927
nvp_25w_28w,pregnancy_duration_term,weight,1y,5525,4184,9.90230860018017,1.12256258742636,8.2,9.12,9.83,10.6162358328161,11.8685
nvp_25w_28w,pregnancy_duration_term,weight,16m,5525,3216,10.8793363645661,1.2392316230628,8.95,10.0089706484448,10.8,11.65,13.0025
nvp_25w_28w,pregnancy_duration_term,weight,2y,5525,3196,12.8994925820935,1.52832621087918,10.5,11.950035933877,12.8540082465444,13.8499203588787,15.5
nvp_25w_28w,pregnancy_duration_term,weight,3y,5525,3321,15.0225955200279,1.84916371506491,12.04,13.9,15,16,18.08
nvp_25w_28w,pregnancy_duration_term,weight,5y,5525,2638,20.0138129577286,2.84852500606872,16,18,20,21.5728888993939,25
nvp_25w_28w,pregnancy_duration_term,weight,7y,5525,2646,25.1988962502832,4.11919761162243,19.9,22.3,25,27.5,32.5
